Agents;Steps;WorldRadius;QueryRadius;Time(s)
4000;10;50;9;1.2765
4000;10;50;9;1.23984
4000;10;50;9;1.22477
4000;10;50;9;1.22546
4000;10;50;9;1.32046

4000;10;100;18;3.07797
4000;10;100;18;3.0788
4000;10;100;18;3.07754
4000;10;100;18;3.07565
4000;10;100;18;3.0811

4000;10;200;36;5.37867
4000;10;200;36;5.38059
4000;10;200;36;5.378
4000;10;200;36;5.38132
4000;10;200;36;5.37102

4000;10;400;72;8.23138
4000;10;400;72;8.22864
4000;10;400;72;8.20363
4000;10;400;72;8.22412
4000;10;400;72;8.22723

4000;10;800;144;10.8712
4000;10;800;144;10.9
4000;10;800;144;10.8868
4000;10;800;144;10.9107
4000;10;800;144;10.9061

