Agents;Steps;WorldRadius;QueryRadius;Time(s)
4000;10;50;9;1.3328
4000;10;50;9;1.31069
4000;10;50;9;1.27296
4000;10;50;9;1.24805
4000;10;50;9;1.22926

8000;10;50;9;3.40057
8000;10;50;9;3.42716
8000;10;50;9;3.47515
8000;10;50;9;3.44091
8000;10;50;9;3.51379

16000;10;50;9;6.83659
16000;10;50;9;6.68938
16000;10;50;9;6.60803
16000;10;50;9;6.62743
16000;10;50;9;6.68401

32000;10;50;9;128.214
32000;10;50;9;91.4426
32000;10;50;9;94.0643
32000;10;50;9;103.979
32000;10;50;9;129.406

64000;10;50;9;425.382
64000;10;50;9;401.528
64000;10;50;9;399.597
64000;10;50;9;423.442
64000;10;50;9;416.554

